,id,name,city,lon,lat,planned_arrival_time,gtfs_line_ref,gtfs_line_start_time,gtfs_ride_id
133,15792196,לונדון מיניסטור/שד' שאול המלך,תל אביב יפו,34.78282,32.075465,2023-07-31 21:26:59+00:00,2542,2023-07-31 21:10:00+00:00,49246646
134,15792301,דרך ז'בוטינסקי/אבן עזרא,בני ברק,34.831208,32.091484,2023-07-31 21:27:08+00:00,6821,2023-07-31 21:15:00+00:00,49274661
135,15792166,ההסתדרות/כ''ג,גבעתיים,34.811192,32.063201,2023-07-31 21:27:21+00:00,976,2023-07-31 21:00:00+00:00,49247757
136,15793431,אלנבי/בלפור,תל אביב יפו,34.770974,32.067978,2023-07-31 21:27:33+00:00,2328,2023-07-31 21:15:00+00:00,49282649
137,15792547,יפת/הבעש''ט,תל אביב יפו,34.750164,32.037971,2023-07-31 21:27:36+00:00,2328,2023-07-31 21:00:00+00:00,49282077
138,15789701,נחל לוז/נחל רפאים,בית שמש,34.995945,31.710922,2023-07-31 21:27:58+00:00,10533,2023-07-31 21:00:00+00:00,49253722
139,15792729,האופרה/שד' שאול המלך,תל אביב יפו,34.784789,32.075623,2023-07-31 21:27:59+00:00,2542,2023-07-31 21:10:00+00:00,49246646
140,15792660,אלנבי/מונטיפיורי,תל אביב יפו,34.771809,32.066114,2023-07-31 21:28:18+00:00,2328,2023-07-31 21:15:00+00:00,49282649
141,15803336,יפת/נגיב מחפוז,תל אביב יפו,34.749216,32.036768,2023-07-31 21:28:25+00:00,2328,2023-07-31 21:00:00+00:00,49282077
142,15792199,המאבק/מנורה,גבעתיים,34.809093,32.06522,2023-07-31 21:28:53+00:00,976,2023-07-31 21:00:00+00:00,49247757
143,15792518,בית המשפט/שד' שאול המלך,תל אביב יפו,34.788446,32.076734,2023-07-31 21:28:59+00:00,2542,2023-07-31 21:10:00+00:00,49246646
144,15792218,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,בני ברק,34.840305,32.092564,2023-07-31 21:29:43+00:00,6821,2023-07-31 21:15:00+00:00,49274661
